date,country,revenue
2020-05-01,singapore,95830.3
2020-06-01,singapore,93640.49
2020-07-01,singapore,90665.0
2020-08-01,singapore,86411.97
2020-09-01,singapore,83844.38
2020-10-01,singapore,84076.37
2020-11-01,singapore,90241.13
2020-12-01,singapore,94498.75
2017-01-01,united_kingdom,75420.74
2017-02-01,united_kingdom,81445.37
2017-03-01,united_kingdom,88410.06
2017-04-01,united_kingdom,88114.32
2017-05-01,united_kingdom,89093.08
2017-06-01,united_kingdom,90323.5
2017-07-01,united_kingdom,83905.29
2017-08-01,united_kingdom,82848.16
2017-09-01,united_kingdom,77548.95
2017-10-01,united_kingdom,78919.4
2017-11-01,united_kingdom,89076.96
2017-12-01,united_kingdom,94508.89
2018-01-01,united_kingdom,92838.6
2018-02-01,united_kingdom,93221.73
2018-03-01,united_kingdom,101677.62
2018-04-01,united_kingdom,103543.58
2018-05-01,united_kingdom,101871.91
2018-06-01,united_kingdom,98170.19
2018-07-01,united_kingdom,97940.65
2018-08-01,united_kingdom,93577.49
2018-09-01,united_kingdom,93023.22
2018-10-01,united_kingdom,92562.61
2018-11-01,united_kingdom,107252.97
2018-12-01,united_kingdom,107903.26
2019-01-01,united_kingdom,102404.18
2019-02-01,united_kingdom,110139.59
2019-03-01,united_kingdom,114459.49
2019-04-01,united_kingdom,118930.42
2019-05-01,united_kingdom,117858.96
2019-06-01,united_kingdom,114885.9
2019-07-01,united_kingdom,113853.44
2019-08-01,united_kingdom,105491.91
2019-09-01,united_kingdom,104521.99
2019-10-01,united_kingdom,103913.18
2019-11-01,united_kingdom,116569.37
2019-12-01,united_kingdom,118885.46
2020-01-01,united_kingdom,118838.54
2020-02-01,united_kingdom,122556.67
2020-03-01,united_kingdom,124362.43
2020-04-01,united_kingdom,127499.62
2020-05-01,united_kingdom,130041.85
2020-06-01,united_kingdom,129024.35
2020-07-01,united_kingdom,128093.63
2020-08-01,united_kingdom,126692.03
2020-09-01,united_kingdom,119777.6
2020-10-01,united_kingdom,116990.4
2020-11-01,united_kingdom,126372.01
2020-12-01,united_kingdom,135292.04
2017-01-01,germany,66618.0
2017-02-01,germany,71303.89
2017-03-01,germany,74159.51
2017-04-01,germany,76730.66
2017-05-01,germany,78912.24
2017-06-01,germany,76076.98
2017-07-01,germany,73430.32
2017-08-01,germany,69829.39
2017-09-01,germany,67452.96
2017-10-01,germany,69603.28
2017-11-01,germany,80268.49
2017-12-01,germany,86555.48
2018-01-01,germany,79621.47
2018-02-01,germany,85080.66
2018-03-01,germany,85751.27
2018-04-01,germany,86355.6
2018-05-01,germany,86859.38
2018-06-01,germany,85977.12
2018-07-01,germany,88718.4
2018-08-01,germany,81593.64
2018-09-01,germany,83125.36
2018-10-01,germany,80295.02
2018-11-01,germany,93343.6
2018-12-01,germany,95604.42
2019-01-01,germany,90533.72
2019-02-01,germany,94740.7
2019-03-01,germany,96886.94
2019-04-01,germany,100528.32
2019-05-01,germany,99126.6
2019-06-01,germany,96526.47
2019-07-01,germany,94327.51
2019-08-01,germany,94683.4
2019-09-01,germany,95784.38
2019-10-01,germany,93501.99
2019-11-01,germany,102958.24
2019-12-01,germany,106835.9
2020-01-01,germany,104420.2
2020-02-01,germany,106582.95
2020-03-01,germany,108701.5
2020-04-01,germany,113050.69
2020-05-01,germany,112028.96
2020-06-01,germany,112620.79
2020-07-01,germany,108211.5
2020-08-01,germany,103708.4
2020-09-01,germany,102174.05
2020-10-01,germany,107436.58
2020-11-01,germany,117490.16
2020-12-01,germany,117444.82
2017-01-01,france,61406.06
2017-02-01,france,67615.24
2017-03-01,france,66319.57
2017-04-01,france,68183.17
2017-05-01,france,70772.64
2017-06-01,france,68218.36
2017-07-01,france,67212.06
2017-08-01,france,65356.66
2017-09-01,france,65187.75
2017-10-01,france,67051.6
2017-11-01,france,73984.92
2017-12-01,france,77528.11
2018-01-01,france,69262.23
2018-02-01,france,75714.49
2018-03-01,france,77168.48
2018-04-01,france,78120.84
2018-05-01,france,78854.35
2018-06-01,france,78752.11
2018-07-01,france,79079.65
2018-08-01,france,73994.09
2018-09-01,france,75151.99
2018-10-01,france,74559.54
2018-11-01,france,83776.62
2018-12-01,france,88524.27
2019-01-01,france,83714.08
2019-02-01,france,88302.97
2019-03-01,france,88676.0
2019-04-01,france,89371.29
2019-05-01,france,90308.5
2019-06-01,france,90085.87
2019-07-01,france,88373.69
2019-08-01,france,84809.2
2019-09-01,france,85684.77
2019-10-01,france,86103.75
2019-11-01,france,98626.6
2019-12-01,france,100319.11
2020-01-01,france,91997.47
2020-02-01,france,96224.56
2020-03-01,france,97087.15
2020-04-01,france,99974.4
2020-05-01,france,101584.67
2020-06-01,france,102019.07
2020-07-01,france,97409.92
2020-08-01,france,95916.07
2020-09-01,france,92656.22
2020-10-01,france,95937.87
2020-11-01,france,103517.77
2020-12-01,france,107029.37
